country,year,ctr_year,ctr_name,life_threat,physical_health,mental_health,rape,fetal_impairment,economic,request,index
3,1966,31966,Algeria,1,1,1,0,0,0,0,
3,1967,31967,Algeria,1,1,1,0,0,0,0,
3,1968,31968,Algeria,1,1,1,0,0,0,0,
3,1969,31969,Algeria,1,1,1,0,0,0,0,
3,1970,31970,Algeria,1,1,1,0,0,0,0,
3,1971,31971,Algeria,1,1,1,0,0,0,0,
3,1972,31972,Algeria,1,1,1,0,0,0,0,
3,1973,31973,Algeria,1,1,1,0,0,0,0,
3,1974,31974,Algeria,1,1,1,0,0,0,0,
3,1975,31975,Algeria,1,1,1,0,0,0,0,
3,1976,31976,Algeria,1,1,1,0,0,0,0,
3,1977,31977,Algeria,1,1,1,0,0,0,0,
3,1978,31978,Algeria,1,1,1,0,0,0,0,
3,1979,31979,Algeria,1,1,1,0,0,0,0,
3,1980,31980,Algeria,1,1,1,0,0,0,0,
3,1981,31981,Algeria,1,1,1,0,0,0,0,
3,1982,31982,Algeria,1,1,1,0,0,0,0,
3,1983,31983,Algeria,1,1,1,0,0,0,0,
3,1984,31984,Algeria,1,1,1,0,0,0,0,
3,1985,31985,Algeria,1,1,1,0,0,0,0,
3,1986,31986,Algeria,1,1,1,0,0,0,0,
3,1987,31987,Algeria,1,1,1,0,0,0,0,
3,1988,31988,Algeria,1,1,1,0,0,0,0,
3,1989,31989,Algeria,1,1,1,0,0,0,0,
3,1990,31990,Algeria,1,1,1,0,0,0,0,
3,1991,31991,Algeria,1,1,1,0,0,0,0,
3,1992,31992,Algeria,1,1,1,0,0,0,0,
3,1993,31993,Algeria,1,1,1,0,0,0,0,
3,1994,31994,Algeria,1,1,1,0,0,0,0,
3,1995,31995,Algeria,1,1,1,0,0,0,0,
3,1996,31996,Algeria,1,1,1,0,0,0,0,
3,1997,31997,Algeria,1,1,1,0,0,0,0,
3,1998,31998,Algeria,1,1,1,0,0,0,0,
3,1999,31999,Algeria,1,1,1,0,0,0,0,
3,2000,32000,Algeria,1,1,1,0,0,0,0,
3,2001,32001,Algeria,1,1,1,0,0,0,0,
3,2002,32002,Algeria,1,1,1,0,0,0,0,
3,2003,32003,Algeria,1,1,1,0,0,0,0,
3,2004,32004,Algeria,1,1,1,0,0,0,0,
3,2005,32005,Algeria,1,1,1,0,0,0,0,
3,2006,32006,Algeria,1,1,1,0,0,0,0,
5,1990,51990,Andorra,1,0,0,0,0,0,0,
5,1991,51991,Andorra,1,0,0,0,0,0,0,
5,1992,51992,Andorra,1,0,0,0,0,0,0,
5,1993,51993,Andorra,1,0,0,0,0,0,0,
5,1994,51994,Andorra,1,0,0,0,0,0,0,
5,1995,51995,Andorra,1,0,0,0,0,0,0,
5,1996,51996,Andorra,1,0,0,0,0,0,0,
5,1997,51997,Andorra,1,0,0,0,0,0,0,
5,1998,51998,Andorra,1,0,0,0,0,0,0,
5,1999,51999,Andorra,1,0,0,0,0,0,0,
5,2000,52000,Andorra,1,0,0,0,0,0,0,
5,2001,52001,Andorra,1,0,0,0,0,0,0,
5,2002,52002,Andorra,1,0,0,0,0,0,0,
5,2003,52003,Andorra,1,0,0,0,0,0,0,
5,2004,52004,Andorra,1,0,0,0,0,0,0,
5,2005,52005,Andorra,1,0,0,0,0,0,0,
5,2006,52006,Andorra,1,0,0,0,0,0,0,
6,1960,61960,Angola,1,0,0,0,0,0,0,
6,1961,61961,Angola,1,0,0,0,0,0,0,
6,1962,61962,Angola,1,0,0,0,0,0,0,
6,1963,61963,Angola,1,0,0,0,0,0,0,
6,1964,61964,Angola,1,0,0,0,0,0,0,
6,1965,61965,Angola,1,0,0,0,0,0,0,
6,1966,61966,Angola,1,0,0,0,0,0,0,
6,1967,61967,Angola,1,0,0,0,0,0,0,
6,1968,61968,Angola,1,0,0,0,0,0,0,
6,1969,61969,Angola,1,0,0,0,0,0,0,
6,1970,61970,Angola,1,0,0,0,0,0,0,
6,1971,61971,Angola,1,0,0,0,0,0,0,
6,1972,61972,Angola,1,0,0,0,0,0,0,
6,1973,61973,Angola,1,0,0,0,0,0,0,
6,1974,61974,Angola,1,0,0,0,0,0,0,
6,1975,61975,Angola,1,0,0,0,0,0,0,
6,1976,61976,Angola,1,0,0,0,0,0,0,
6,1977,61977,Angola,1,0,0,0,0,0,0,
6,1978,61978,Angola,1,0,0,0,0,0,0,
6,1979,61979,Angola,1,0,0,0,0,0,0,
6,1980,61980,Angola,1,0,0,0,0,0,0,
6,1981,61981,Angola,1,0,0,0,0,0,0,
6,1982,61982,Angola,1,0,0,0,0,0,0,
6,1983,61983,Angola,1,0,0,0,0,0,0,
6,1984,61984,Angola,1,0,0,0,0,0,0,
6,1985,61985,Angola,1,0,0,0,0,0,0,
6,1986,61986,Angola,1,0,0,0,0,0,0,
6,1987,61987,Angola,1,0,0,0,0,0,0,
6,1988,61988,Angola,1,0,0,0,0,0,0,
6,1989,61989,Angola,1,0,0,0,0,0,0,
6,1990,61990,Angola,1,0,0,0,0,0,0,
6,1991,61991,Angola,1,0,0,0,0,0,0,
6,1992,61992,Angola,1,0,0,0,0,0,0,
6,1993,61993,Angola,1,0,0,0,0,0,0,
6,1994,61994,Angola,1,0,0,0,0,0,0,
6,1995,61995,Angola,1,0,0,0,0,0,0,
6,1996,61996,Angola,1,0,0,0,0,0,0,
6,1997,61997,Angola,1,0,0,0,0,0,0,
6,1998,61998,Angola,1,0,0,0,0,0,0,
6,1999,61999,Angola,1,0,0,0,0,0,0,
6,2000,62000,Angola,1,0,0,0,0,0,0,
6,2001,62001,Angola,1,0,0,0,0,0,0,
6,2002,62002,Angola,1,0,0,0,0,0,0,
6,2003,62003,Angola,1,0,0,0,0,0,0,
6,2004,62004,Angola,1,0,0,0,0,0,0,
6,2005,62005,Angola,1,0,0,0,0,0,0,
6,2006,62006,Angola,1,0,0,0,0,0,0,
7,1960,71960,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1961,71961,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1962,71962,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1963,71963,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1964,71964,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1965,71965,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1966,71966,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1967,71967,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1968,71968,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1969,71969,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1970,71970,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1971,71971,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1972,71972,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1973,71973,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1974,71974,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1975,71975,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1976,71976,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1977,71977,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1978,71978,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1979,71979,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1980,71980,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1981,71981,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1982,71982,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1983,71983,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1984,71984,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1985,71985,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1986,71986,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1987,71987,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1988,71988,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1989,71989,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1990,71990,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1991,71991,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1992,71992,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1993,71993,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1994,71994,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1995,71995,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1996,71996,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1997,71997,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1998,71998,Antigua and Barbuda,1,0,0,0,0,0,0,
7,1999,71999,Antigua and Barbuda,1,0,0,0,0,0,0,
7,2000,72000,Antigua and Barbuda,1,0,0,0,0,0,0,
7,2001,72001,Antigua and Barbuda,1,0,0,0,0,0,0,
7,2002,72002,Antigua and Barbuda,1,0,0,0,0,0,0,
7,2003,72003,Antigua and Barbuda,1,0,0,0,0,0,0,
7,2004,72004,Antigua and Barbuda,1,0,0,0,0,0,0,
7,2005,72005,Antigua and Barbuda,1,0,0,0,0,0,0,
7,2006,72006,Antigua and Barbuda,1,0,0,0,0,0,0,
8,1960,81960,Argentina,,,,,,,,
8,1961,81961,Argentina,,,,,,,,
8,1962,81962,Argentina,,,,,,,,
8,1963,81963,Argentina,,,,,,,,
8,1964,81964,Argentina,,,,,,,,
8,1965,81965,Argentina,,,,,,,,
8,1966,81966,Argentina,,,,,,,,
8,1967,81967,Argentina,,,,,,,,
8,1968,81968,Argentina,,,,,,,,
8,1969,81969,Argentina,,,,,,,,
8,1970,81970,Argentina,,,,,,,,
8,1971,81971,Argentina,,,,,,,,
8,1972,81972,Argentina,,,,,,,,
8,1973,81973,Argentina,,,,,,,,
8,1974,81974,Argentina,,,,,,,,
8,1975,81975,Argentina,,,,,,,,
8,1976,81976,Argentina,,,,,,,,
8,1977,81977,Argentina,,,,,,,,
8,1978,81978,Argentina,,,,,,,,
8,1979,81979,Argentina,,,,,,,,
8,1980,81980,Argentina,,,,,,,,
8,1981,81981,Argentina,,,,,,,,
8,1982,81982,Argentina,,,,,,,,
8,1983,81983,Argentina,1,1,1,1,0,0,0,
8,1984,81984,Argentina,1,1,0,0,0,0,0,
8,1985,81985,Argentina,1,1,0,0,0,0,0,
8,1986,81986,Argentina,1,1,0,0,0,0,0,
8,1987,81987,Argentina,1,1,0,0,0,0,0,
8,1988,81988,Argentina,1,1,0,0,0,0,0,
8,1989,81989,Argentina,1,1,0,0,0,0,0,
8,1990,81990,Argentina,1,1,0,0,0,0,0,
8,1991,81991,Argentina,1,1,0,0,0,0,0,
8,1992,81992,Argentina,1,1,0,0,0,0,0,
8,1993,81993,Argentina,1,1,0,0,0,0,0,
8,1994,81994,Argentina,1,1,0,0,0,0,0,
8,1995,81995,Argentina,1,1,0,0,0,0,0,
8,1996,81996,Argentina,1,1,0,0,0,0,0,
8,1997,81997,Argentina,1,1,0,0,0,0,0,
8,1998,81998,Argentina,1,1,0,0,0,0,0,
8,1999,81999,Argentina,1,1,0,0,0,0,0,
